datetime,new_dinner,dinner_rice,dinner_soup,dinner_main,dinner_number
2016-02-01,N,밥,육개장,자반고등어구이,331.0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560.0
2016-02-03,N,밥,청국장찌개,황태양념구이,573.0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525.0
2016-02-05,N,밥,차돌박이찌개,닭갈비,330.0
2016-02-11,N,참치회덮밥,맑은국,군만두,550.0
2016-02-12,N,밥,김치콩나물국,미니함박,598.0
2016-02-15,N,밥,홍합미역국,등갈비김치찜,672.0
2016-02-16,N,밥,된장찌개,쇠불고기,523.0
2016-02-17,N,볶음밥*자장소스,맑은국,새우또띠아,588.0
2016-02-18,N,밥,순두부찌개,명태조림,489.0
2016-02-19,N,밥,설렁탕,김치전,597.0
2016-02-22,N,밥,옹심이만두국,떡갈비조림,645.0
2016-02-23,N,밥,콩비지찌개,해물까스&타르타르소스,610.0
2016-02-24,N,밥,열무된장국,매운돼지갈비찜,514.0
2016-02-25,N,김밥,잔치국수,교자만두,531.0
2016-02-26,N,밥,닭개장,삼치구이,585.0
2016-02-29,N,밥,버섯들깨탕,꽁치한마리구이,344.0
2016-03-02,N,밥,된장찌개,버섯불고기,631.0
2016-03-03,N,멸치주먹밥,우동,떡볶이,473.0
2016-03-04,N,밥,오징어국,미트볼조림,673.0
2016-03-07,N,밥,대구찌개,돈육굴소스볶음,625.0
2016-03-08,N,카레덮밥,가쯔오장국,수제고로케*케찹,609.0
2016-03-09,N,밥,육개장,생선까스*탈탈소스,523.0
2016-03-10,N,볶음밥,짬뽕,개성감자만두,525.0
2016-03-11,N,밥,연두부탕,코다리무조림,591.0
2016-03-14,N,밥,달래된장찌개,간장찜닭,586.0
2016-03-15,N,짜장잡채덮밥,계란파국,참치야채전,545.0
2016-03-16,N,밥,뼈해장국,해물청경채볶음,531.0
2016-03-17,N,토마토스파게티,양송이스프,미니햄버거,548.0
2016-03-18,N,밥,닭곰탕,임연수찜,521.0
2016-03-21,N,밥,수제비국,아귀콩나물찜,605.0
2016-03-22,N,굴소스파인볶음밥,가쯔오장국,찹쌀순대볶음,585.0
2016-03-23,N,밥,알탕,동그랑땡전,544.0
2016-03-24,N,참치회덮밥,미소장국,군만두,507.0
2016-03-25,N,밥,냉이된장찌개,누룽지탕수육,523.0
2016-03-28,N,밥,콩비지찌개,유산슬,637.0
2016-03-29,N,햄볶음밥,유부장국,돈육씨앗강정,465.0
2016-03-30,N,밥,어묵국,등갈비김치찜,463.0
2016-03-31,N,주먹밥,잔치국수,또띠아피자,526.0
2016-04-01,N,밥,쇠고기미역국,순살깐풍기,591.0
2016-04-04,N,밥,된장찌개,고등어조림,614.0
2016-04-05,N,김치볶음밥,가쯔오장국,감자치즈구이,555.0
2016-04-06,N,밥,매운버섯국,찜닭,492.0
2016-04-07,N,김밥,우동,야채튀김,524.0
2016-04-08,N,밥,오징어국,미니함박,542.0
2016-04-11,N,밥,쇠고기무국,가자미찜,536.0
2016-04-12,N,치킨마요덮밥,유부주머니국,떡볶이,500.0
2016-04-14,N,비빔밥,팽이버섯장국,새우또띠아,562.0
2016-04-15,N,밥,들깨미역국,수제돈가스,582.0
2016-04-18,N,밥,꽃게탕,유산슬,525.0
2016-04-19,N,낙지비빔밥,유부장국,새싹피자,449.0
2016-04-20,N,밥,어묵국,닭볶음탕,504.0
2016-04-21,N,오므라이스,팽이버섯국,해물까스*탈탈소스,531.0
2016-04-22,N,밥,순두부찌개,탕수어,557.0
2016-04-25,N,밥,알탕,순살깐풍기,528.0
2016-04-26,N,짜장덮밥,맑은국,쇠고기퀘사디아,568.0
2016-04-27,N,밥,청국장찌개,코다리무조림,490.0
2016-04-28,N,참치주먹밥,비빔메밀국수,가쯔오장국,508.0
2016-04-29,N,밥,들깨버섯탕,고추잡채*꽃빵,507.0
2016-05-02,N,밥,북어국,고추장불고기,551.0
2016-05-03,N,밥,부대찌개*라면사리,탕수육,515.0
2016-05-04,N,카레덮밥,미소장국,수제미니햄버거,636.0
2016-05-09,N,밥,닭개장,가자미튀김,591.0
2016-05-10,N,김치볶음밥/계란,가쯔오국,찹쌀순대볶음,519.0
2016-05-11,N,밥,콩비지찌개,해물누룽지탕,423.0
2016-05-12,N,돈까스김밥,잔치국수,멕시칸샐러드,532.0
2016-05-13,N,밥,쇠고기무국,코다리강정,517.0
2016-05-16,N,밥,닭곰탕,주꾸미볶음,594.0
2016-05-17,N,유부초밥,우동,떡볶이,633.0
2016-05-18,N,밥,뼈해장국,황태양념구이,456.0
2016-05-19,N,새우살볶음밥,팽이장국,사천식탕수육,529.0
2016-05-20,N,밥,육개장,꽁치허브구이,487.0
2016-05-23,N,밥,수제비국,데리야끼파닭,613.0
2016-05-24,N,참치회덮밥,맑은국,고구마치즈구이,465.0
2016-05-25,N,밥,된장찌개,등갈비김치찜,454.0
2016-05-26,N,짜장잡채밥,계란파국,춘권*칠리소스,520.0
2016-05-27,N,밥,꽃게탕,돈육청경채볶음,493.0
2016-05-30,N,밥,해물순두부찌개,미니함박조림,631.0
2016-05-31,N,참치주먹밥,쌀국수,수제고로케*케찹,535.0
2016-06-01,N,밥,어묵국,고추장불고기,490.0
2016-06-02,N,날치알볶음밥,유부장국,고추잡채*꽃빵,483.0
2016-06-03,N,밥,시래기국,수제돈까스,548.0
2016-06-07,N,콩나물밥*양념장,가쯔오장국,미트볼케찹조림,629.0
2016-06-08,N,밥,육개장,자반고등어구이,500.0
2016-06-09,N,충무김밥,열무물국수,오징어무침,506.0
2016-06-10,N,밥,어묵국,버섯불고기,509.0
