瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 惑措嚼档(%)
192,柳林,2016-02-01,-.6,,43.9
192,柳林,2016-02-02,-2.3,,47.5
192,柳林,2016-02-03,-1.7,,57.1
192,柳林,2016-02-04,-.2,,53.4
192,柳林,2016-02-05,1.3,,44.4
192,柳林,2016-02-06,-.3,,48.3
192,柳林,2016-02-07,-1.6,,50.9
192,柳林,2016-02-08,1.9,,47.6
192,柳林,2016-02-09,4.9,,26.1
192,柳林,2016-02-10,1.7,,47.5
192,柳林,2016-02-11,6.1,,57.1
192,柳林,2016-02-12,9.2,62.8,88
192,柳林,2016-02-13,12,9.9,90.5
192,柳林,2016-02-14,4.1,,53.6
192,柳林,2016-02-15,-1.5,,38.4
192,柳林,2016-02-16,.2,,59.6
192,柳林,2016-02-17,1.7,,49.8
192,柳林,2016-02-18,2.3,,61.8
192,柳林,2016-02-19,5,,58.9
192,柳林,2016-02-20,6,,42.9
192,柳林,2016-02-21,2.1,,35.8
192,柳林,2016-02-22,3.4,,45.5
192,柳林,2016-02-23,5.5,,39.5
192,柳林,2016-02-24,1.4,,29.9
192,柳林,2016-02-25,.8,,32.8
192,柳林,2016-02-26,1.8,,61
192,柳林,2016-02-27,7.9,.7,49.8
192,柳林,2016-02-28,6.1,3,67.1
192,柳林,2016-02-29,-.2,,43.8
192,柳林,2016-03-01,-.8,,44
192,柳林,2016-03-02,3.8,,49.6
192,柳林,2016-03-03,6.7,0,61.9
192,柳林,2016-03-04,8.2,36.1,88.4
192,柳林,2016-03-05,12.1,43.1,87.6
192,柳林,2016-03-06,13.7,1.3,81.5
192,柳林,2016-03-07,11,,67.8
192,柳林,2016-03-08,8,3.3,65.1
192,柳林,2016-03-09,5.2,6.8,56.6
192,柳林,2016-03-10,3,,33
192,柳林,2016-03-11,2,,34.1
192,柳林,2016-03-12,2.7,,43.9
192,柳林,2016-03-13,4.7,,51.3
192,柳林,2016-03-14,5.5,,50.5
192,柳林,2016-03-15,5.9,,49.1
192,柳林,2016-03-16,8.4,,53.1
192,柳林,2016-03-17,9.3,,55.3
192,柳林,2016-03-18,9.8,27.6,89.3
192,柳林,2016-03-19,11.5,,71.5
192,柳林,2016-03-20,9.5,,68.3
192,柳林,2016-03-21,9.3,,62.5
192,柳林,2016-03-22,9.6,,64.5
192,柳林,2016-03-23,10.5,,52.3
192,柳林,2016-03-24,8.3,0,45.6
192,柳林,2016-03-25,6.8,2.8,70.8
192,柳林,2016-03-26,6.6,,56.1
192,柳林,2016-03-27,7.4,,53.4
192,柳林,2016-03-28,8.4,,49.9
192,柳林,2016-03-29,10.7,,60
192,柳林,2016-03-30,13.8,,53.6
192,柳林,2016-03-31,12,,61.9
192,柳林,2016-04-01,13.6,,57.3
192,柳林,2016-04-02,13.1,,68.8
192,柳林,2016-04-03,12.2,37.8,86.6
192,柳林,2016-04-04,11.2,2.6,81.9
192,柳林,2016-04-05,12.4,,66.8
192,柳林,2016-04-06,11.8,26.1,64.9
192,柳林,2016-04-07,12.2,28.7,82.5
192,柳林,2016-04-08,15,,60.3
192,柳林,2016-04-09,15,,55.8
192,柳林,2016-04-10,14.4,,62.9
192,柳林,2016-04-11,10.8,,66
192,柳林,2016-04-12,11.5,3.1,58.6
192,柳林,2016-04-13,13.6,37.7,90.3
192,柳林,2016-04-14,17.1,,57.6
192,柳林,2016-04-15,12.9,,59.3
192,柳林,2016-04-16,13.2,77.5,78.5
192,柳林,2016-04-17,15.5,3.9,44.1
192,柳林,2016-04-18,14.4,,43
192,柳林,2016-04-19,13.5,,46.5
192,柳林,2016-04-20,13.5,,58.8
192,柳林,2016-04-21,13.8,33.2,89
192,柳林,2016-04-22,17,,70.9
192,柳林,2016-04-23,15.4,,56.3
192,柳林,2016-04-24,14.6,,54.9
192,柳林,2016-04-25,15.4,,51.6
192,柳林,2016-04-26,16.3,1.2,61.4
192,柳林,2016-04-27,11.4,42.9,84.5
192,柳林,2016-04-28,14.1,5,77.1
192,柳林,2016-04-29,15,,63.3
192,柳林,2016-04-30,16.6,,57.5
192,柳林,2016-05-01,16.5,,61.5
192,柳林,2016-05-02,17.8,0,74.8
