datetime,season,year,month,date,weekdays,vacation,worker_number,real_number,vacation_number,biztrip_number,overtime_number,telecom_number,temperature,rain,wind,humidity,discomfort_index,perceived_temperature,dinner_rice,dinner_soup,dinner_main,new_dinner,dinner_number
2016-02-01,겨울,2016,2,1,월,N,2601,2401,50,150,238,0,-0.6,0.0,1.3,43.9,39.275534,0.6415480875294988,밥,육개장,자반고등어구이,N,331
2016-02-02,겨울,2016,2,2,화,N,2601,2378,50,173,319,0,-2.3,0.0,0.8,47.5,36.562925,-0.1606335080421509,콩나물밥*양념장,어묵국,유산슬,N,560
2016-02-03,겨울,2016,2,3,수,N,2601,2365,56,180,111,0,-1.7,0.0,0.6,57.1,35.796707,0.964631488441028,밥,청국장찌개,황태양념구이,N,573
2016-02-04,겨울,2016,2,4,목,N,2601,2277,104,220,355,0,-0.2,0.0,0.7,53.4,38.396068,2.181494415576727,미니김밥*겨자장,우동,멕시칸샐러드,N,525
2016-02-05,겨울,2016,2,5,금,Y,2601,2142,278,181,34,0,1.3,0.0,1.0,44.4,41.575228,3.0734,밥,차돌박이찌개,닭갈비,N,330
2016-02-11,겨울,2016,2,11,목,N,2601,2075,383,143,417,0,6.1,0.0,1.0,57.1,46.523969,7.959799999999999,참치회덮밥,맑은국,군만두,N,550
2016-02-12,겨울,2016,2,12,금,N,2601,2056,389,156,93,0,9.2,62.8,1.1,88.0,49.18304,10.996936831685804,밥,김치콩나물국,미니함박,N,598
2016-02-15,겨울,2016,2,15,월,N,2601,2310,87,204,482,0,-1.5,0.0,1.8,38.4,39.02356,-0.9568456012102348,밥,홍합미역국,등갈비김치찜,N,672
2016-02-16,겨울,2016,2,16,화,N,2601,2293,72,236,526,0,0.2,0.0,1.8,59.6,38.057208,0.8402225596369,밥,된장찌개,쇠불고기,N,523
2016-02-17,겨울,2016,2,17,수,N,2601,2273,78,250,23,0,1.7,0.0,1.1,49.8,41.393734,3.3162407092369697,볶음밥*자장소스,맑은국,새우또띠아,N,588
