datetime,season,year,month,date,weekdays,vacation,worker_number,real_number,vacation_number,biztrip_number,overtime_number,telecom_number,temperature,rain,wind,humidity,discomfort_index,perceived_temperature,lunch_rice,lunch_soup,lunch_main,new_lunch,lunch_number
2016-02-01,겨울,2016,2,1,월,N,2601,2401,50,150,238,0,-0.6,0.0,1.3,43.9,39.275534,0.6415480875294988,밥,오징어찌개,쇠불고기,N,1039
2016-02-02,겨울,2016,2,2,화,N,2601,2378,50,173,319,0,-2.3,0.0,0.8,47.5,36.562925,-0.1606335080421509,밥,김치찌개,가자미튀김,N,867
2016-02-03,겨울,2016,2,3,수,N,2601,2365,56,180,111,0,-1.7,0.0,0.6,57.1,35.796707,0.964631488441028,카레덮밥,팽이장국,치킨핑거,N,1017
2016-02-04,겨울,2016,2,4,목,N,2601,2277,104,220,355,0,-0.2,0.0,0.7,53.4,38.396068,2.181494415576727,밥,쇠고기무국,주꾸미볶음,N,978
2016-02-05,겨울,2016,2,5,금,Y,2601,2142,278,181,34,0,1.3,0.0,1.0,44.4,41.575228,3.0734,밥,떡국,돈육씨앗강정,N,925
2016-02-11,겨울,2016,2,11,목,N,2601,2075,383,143,417,0,6.1,0.0,1.0,57.1,46.523969,7.959799999999999,밥,시래기국,훈제오리구이,N,1045
2016-02-12,겨울,2016,2,12,금,N,2601,2056,389,156,93,0,9.2,62.8,1.1,88.0,49.18304,10.996936831685804,밥,꽃게탕,돈육굴소스볶음,N,909
2016-02-15,겨울,2016,2,15,월,N,2601,2310,87,204,482,0,-1.5,0.0,1.8,38.4,39.02356,-0.9568456012102348,밥,시금치국,닭감자조림,N,1268
2016-02-16,겨울,2016,2,16,화,N,2601,2293,72,236,526,0,0.2,0.0,1.8,59.6,38.057208,0.8402225596369,밥,쇠고기무국,탕수어,N,1014
2016-02-17,겨울,2016,2,17,수,N,2601,2273,78,250,23,0,1.7,0.0,1.1,49.8,41.393734,3.3162407092369697,밥,냉이된장국,쇠고기장조림,N,916
2016-02-18,겨울,2016,2,18,목,N,2601,2270,77,254,367,0,2.3,0.0,1.1,61.8,40.732786,3.9306963990328776,낙지비빔밥,유부장국,고구마치즈구이,N,910
2016-02-19,겨울,2016,2,19,금,N,2601,2204,145,252,69,0,5.0,0.0,0.9,58.9,44.84285,6.996925081667167,밥,대구찌개,마늘간장치킨,N,763
2016-02-22,겨울,2016,2,22,월,N,2601,2304,90,207,434,0,3.4,0.0,0.7,45.5,44.07903,5.767116320077945,밥,쇠고기느타리국,갈치구이,N,1298
2016-02-23,겨울,2016,2,23,화,N,2601,2307,57,237,488,0,5.5,0.0,1.8,39.5,47.257275,6.442846825807379,밥,콩나물국,돈육간장볶음,N,899
2016-02-24,겨울,2016,2,24,수,N,2601,2315,54,232,14,0,1.4,0.0,1.6,29.9,43.572714000000005,2.3305522511211247,비빔밥,팽이장국,소세지피망볶음,N,1022
2016-02-25,겨울,2016,2,25,목,N,2601,2284,56,261,335,0,0.8,0.0,1.7,32.8,42.517376,1.5850250234563696,밥,북어계란국,닭갈비,N,917
2016-02-26,겨울,2016,2,26,금,N,2601,2179,144,278,42,0,1.8,0.0,0.9,61.0,40.12202,3.760534833317693,밥,수제비국,오징어볶음,N,766
2016-02-29,겨울,2016,2,29,월,Y,2601,1838,595,168,110,0,-0.2,0.0,2.7,43.8,39.787876,-0.4256789073723097,밥,얼갈이된장국,제육볶음,N,869
2016-03-02,봄,2016,3,2,수,N,2624,2315,127,182,261,0,3.8,0.0,1.3,49.6,44.151152,5.195542281698645,밥,쇠고기미역국,주꾸미볶음,N,1127
2016-03-03,봄,2016,3,3,목,N,2624,2339,61,224,351,0,6.7,0.0,1.1,61.9,46.981127,8.436704790869525,밥,근대된장국,탕수육,N,1000
2016-03-04,봄,2016,3,4,금,N,2624,2294,83,247,79,0,8.2,36.1,0.8,88.4,47.477112,10.382348262145523,밥,부대찌개,가자미튀김,N,837
2016-03-07,봄,2016,3,7,월,N,2624,2379,50,195,456,0,11.0,0.0,1.1,67.8,52.89802,12.840303901073518,밥,콩나물국,닭갈비,N,1326
2016-03-08,봄,2016,3,8,화,N,2624,2365,47,212,426,0,8.0,3.3,1.3,65.1,48.62662,9.542536739769194,밥,차돌박이찌개,고등어김치말이,N,1026
2016-03-09,봄,2016,3,9,수,N,2624,2356,43,225,0,0,5.2,6.8,1.3,56.6,45.331968,6.64454043438883,밥,북어국,돈육장조림,N,901
2016-03-10,봄,2016,3,10,목,N,2624,2324,55,245,290,0,3.0,0.0,2.1,33.0,44.9911,3.5208162821164457,밥,고추장찌개,닭데리야끼조림,N,847
2016-03-11,봄,2016,3,11,금,N,2624,2241,108,275,76,0,2.0,0.0,1.5,34.1,43.71888,3.077076404874828,밥,배추된장국,수제돈가스,N,728
2016-03-14,봄,2016,3,14,월,N,2624,2380,61,183,376,0,5.5,0.0,1.4,50.5,46.283225,6.840732931235303,밥,어묵국,돈육고추장볶음,N,1286
2016-03-15,봄,2016,3,15,화,N,2624,2355,38,231,399,0,5.9,0.0,1.0,49.1,46.925631,7.7562000000000015,밥,쑥국,소불고기,N,958
2016-03-16,봄,2016,3,16,수,N,2624,2361,50,213,0,0,8.4,0.0,1.2,53.1,49.926496,10.063224888419624,곤드레밥,콩나물김치국,미니채소떡갈비,N,998
2016-03-17,봄,2016,3,17,목,N,2624,2330,52,242,327,0,9.3,0.0,1.1,55.3,51.016571,11.099346113318452,밥,사골우거지국,탕수어,N,832
2016-03-18,봄,2016,3,18,금,N,2624,2229,118,277,57,0,9.8,27.6,0.5,89.3,50.131986,12.512063861653775,밥,시금치국,훈제오리구이,N,757
2016-03-21,봄,2016,3,21,월,N,2624,2354,65,205,329,0,9.3,0.0,1.1,62.5,50.649875,11.099346113318452,밥,꽃게탕,버섯불고기,N,1030
2016-03-22,봄,2016,3,22,화,N,2624,2375,41,208,378,0,9.6,0.0,1.0,64.5,50.98258,11.522799999999998,밥,쇠고기샤브국,코다리강정,N,917
