datetime,new_ln,ln_rice,ln_soup,ln_main,ln_eater,workers,real-in-worker,biztrip,overtime,remote-work,temperature,rain,wind,humidity,discomfort_index,perceived-temperature,month,date,weekdays,season,near-holiday
2016-02-01,N,밥,오징어찌개,쇠불고기,1039,2601,2401,150,238,0,-0.6,0.0,1.3,43.9,39.275534,0.6415480875294988,2,1,월,겨울,0
2016-02-02,N,밥,김치찌개,가자미튀김,867,2601,2378,173,319,0,-2.3,0.0,0.8,47.5,36.562925,-0.16063350804215093,2,2,화,겨울,0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017,2601,2365,180,111,0,-1.7,0.0,0.6,57.1,35.796707,0.964631488441028,2,3,수,겨울,0
2016-02-04,N,밥,쇠고기무국,주꾸미볶음,978,2601,2277,220,355,0,-0.2,0.0,0.7,53.4,38.396068,2.181494415576727,2,4,목,겨울,0
2016-02-05,N,밥,떡국,돈육씨앗강정,925,2601,2142,181,34,0,1.3,0.0,1.0,44.4,41.575228,3.0734,2,5,금,겨울,1
2016-02-11,N,밥,시래기국,훈제오리구이,1045,2601,2075,143,417,0,6.1,0.0,1.0,57.1,46.523969,7.9598,2,11,목,겨울,0
2016-02-12,N,밥,꽃게탕,돈육굴소스볶음,909,2601,2056,156,93,0,9.2,62.8,1.1,88.0,49.18304,10.996936831685804,2,12,금,겨울,0
2016-02-15,N,밥,시금치국,닭감자조림,1268,2601,2310,204,482,0,-1.5,0.0,1.8,38.4,39.02356,-0.9568456012102348,2,15,월,겨울,0
2016-02-16,N,밥,쇠고기무국,탕수어,1014,2601,2293,236,526,0,0.2,0.0,1.8,59.6,38.057208,0.8402225596369,2,16,화,겨울,0
2016-02-17,N,밥,냉이된장국,쇠고기장조림,916,2601,2273,250,23,0,1.7,0.0,1.1,49.8,41.393734,3.3162407092369697,2,17,수,겨울,0
2016-02-18,N,낙지비빔밥,유부장국,고구마치즈구이,910,2601,2270,254,367,0,2.3,0.0,1.1,61.8,40.732786,3.9306963990328776,2,18,목,겨울,0
2016-02-19,N,밥,대구찌개,마늘간장치킨,763,2601,2204,252,69,0,5.0,0.0,0.9,58.9,44.84285,6.996925081667167,2,19,금,겨울,0
2016-02-22,N,밥,쇠고기느타리국,갈치구이,1298,2601,2304,207,434,0,3.4,0.0,0.7,45.5,44.07903,5.767116320077945,2,22,월,겨울,0
2016-02-23,N,밥,콩나물국,돈육간장볶음,899,2601,2307,237,488,0,5.5,0.0,1.8,39.5,47.257275,6.442846825807379,2,23,화,겨울,0
2016-02-24,N,비빔밥,팽이장국,소세지피망볶음,1022,2601,2315,232,14,0,1.4,0.0,1.6,29.9,43.572714000000005,2.3305522511211247,2,24,수,겨울,0
2016-02-25,N,밥,북어계란국,닭갈비,917,2601,2284,261,335,0,0.8,0.0,1.7,32.8,42.517376,1.5850250234563696,2,25,목,겨울,0
2016-02-26,N,밥,수제비국,오징어볶음,766,2601,2179,278,42,0,1.8,0.0,0.9,61.0,40.12202,3.760534833317693,2,26,금,겨울,0
2016-02-29,N,밥,얼갈이된장국,제육볶음,869,2601,1838,168,110,0,-0.2,0.0,2.7,43.8,39.787876,-0.42567890737230973,2,29,월,겨울,1
2016-03-02,N,밥,쇠고기미역국,주꾸미볶음,1127,2624,2315,182,261,0,3.8,0.0,1.3,49.6,44.151152,5.195542281698645,3,2,수,봄,0
2016-03-03,N,밥,근대된장국,탕수육,1000,2624,2339,224,351,0,6.7,0.0,1.1,61.9,46.981127,8.436704790869525,3,3,목,봄,0
