瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
192,柳林,2016-02-01,-.6,,1.3,43.9
192,柳林,2016-02-02,-2.3,,.8,47.5
192,柳林,2016-02-03,-1.7,,.6,57.1
192,柳林,2016-02-04,-.2,,.7,53.4
192,柳林,2016-02-05,1.3,,1,44.4
192,柳林,2016-02-06,-.3,,1.7,48.3
192,柳林,2016-02-07,-1.6,,.7,50.9
192,柳林,2016-02-08,1.9,,1.7,47.6
192,柳林,2016-02-09,4.9,,2.5,26.1
192,柳林,2016-02-10,1.7,,.7,47.5
192,柳林,2016-02-11,6.1,,1,57.1
192,柳林,2016-02-12,9.2,62.8,1.1,88
192,柳林,2016-02-13,12,9.9,.8,90.5
192,柳林,2016-02-14,4.1,,2.5,53.6
192,柳林,2016-02-15,-1.5,,1.8,38.4
192,柳林,2016-02-16,.2,,1.8,59.6
192,柳林,2016-02-17,1.7,,1.1,49.8
192,柳林,2016-02-18,2.3,,1.1,61.8
192,柳林,2016-02-19,5,,.9,58.9
192,柳林,2016-02-20,6,,1.8,42.9
192,柳林,2016-02-21,2.1,,1.3,35.8
192,柳林,2016-02-22,3.4,,.7,45.5
192,柳林,2016-02-23,5.5,,1.8,39.5
192,柳林,2016-02-24,1.4,,1.6,29.9
192,柳林,2016-02-25,.8,,1.7,32.8
192,柳林,2016-02-26,1.8,,.9,61
192,柳林,2016-02-27,7.9,.7,1.6,49.8
192,柳林,2016-02-28,6.1,3,1.5,67.1
192,柳林,2016-02-29,-.2,,2.7,43.8
192,柳林,2016-03-01,-.8,,1.1,44
192,柳林,2016-03-02,3.8,,1.3,49.6
192,柳林,2016-03-03,6.7,0,1.1,61.9
192,柳林,2016-03-04,8.2,36.1,.8,88.4
192,柳林,2016-03-05,12.1,43.1,1.4,87.6
192,柳林,2016-03-06,13.7,1.3,.9,81.5
192,柳林,2016-03-07,11,,1.1,67.8
192,柳林,2016-03-08,8,3.3,1.3,65.1
192,柳林,2016-03-09,5.2,6.8,1.3,56.6
192,柳林,2016-03-10,3,,2.1,33
192,柳林,2016-03-11,2,,1.5,34.1
192,柳林,2016-03-12,2.7,,1,43.9
192,柳林,2016-03-13,4.7,,.9,51.3
192,柳林,2016-03-14,5.5,,1.4,50.5
192,柳林,2016-03-15,5.9,,1,49.1
192,柳林,2016-03-16,8.4,,1.2,53.1
192,柳林,2016-03-17,9.3,,1.1,55.3
192,柳林,2016-03-18,9.8,27.6,.5,89.3
192,柳林,2016-03-19,11.5,,1,71.5
192,柳林,2016-03-20,9.5,,1.1,68.3
192,柳林,2016-03-21,9.3,,1.1,62.5
192,柳林,2016-03-22,9.6,,1,64.5
192,柳林,2016-03-23,10.5,,1.3,52.3
192,柳林,2016-03-24,8.3,0,2,45.6
192,柳林,2016-03-25,6.8,2.8,1.2,70.8
192,柳林,2016-03-26,6.6,,1.2,56.1
192,柳林,2016-03-27,7.4,,1,53.4
192,柳林,2016-03-28,8.4,,1,49.9
192,柳林,2016-03-29,10.7,,1.8,60
192,柳林,2016-03-30,13.8,,1.3,53.6
192,柳林,2016-03-31,12,,.9,61.9
192,柳林,2016-04-01,13.6,,1.1,57.3
192,柳林,2016-04-02,13.1,,1.3,68.8
192,柳林,2016-04-03,12.2,37.8,.7,86.6
192,柳林,2016-04-04,11.2,2.6,1,81.9
192,柳林,2016-04-05,12.4,,.9,66.8
192,柳林,2016-04-06,11.8,26.1,1,64.9
192,柳林,2016-04-07,12.2,28.7,.7,82.5
192,柳林,2016-04-08,15,,1,60.3
192,柳林,2016-04-09,15,,1,55.8
192,柳林,2016-04-10,14.4,,1.3,62.9
192,柳林,2016-04-11,10.8,,1.7,66
192,柳林,2016-04-12,11.5,3.1,1.2,58.6
192,柳林,2016-04-13,13.6,37.7,.6,90.3
192,柳林,2016-04-14,17.1,,1.3,57.6
192,柳林,2016-04-15,12.9,,1.2,59.3
192,柳林,2016-04-16,13.2,77.5,1.7,78.5
192,柳林,2016-04-17,15.5,3.9,3.2,44.1
192,柳林,2016-04-18,14.4,,1.7,43
192,柳林,2016-04-19,13.5,,1.8,46.5
192,柳林,2016-04-20,13.5,,1.2,58.8
192,柳林,2016-04-21,13.8,33.2,.7,89
192,柳林,2016-04-22,17,,1.3,70.9
192,柳林,2016-04-23,15.4,,.7,56.3
192,柳林,2016-04-24,14.6,,1,54.9
192,柳林,2016-04-25,15.4,,1.1,51.6
192,柳林,2016-04-26,16.3,1.2,1.2,61.4
192,柳林,2016-04-27,11.4,42.9,1.9,84.5
192,柳林,2016-04-28,14.1,5,.9,77.1
192,柳林,2016-04-29,15,,1.3,63.3
192,柳林,2016-04-30,16.6,,1.4,57.5
192,柳林,2016-05-01,16.5,,1.5,61.5
192,柳林,2016-05-02,17.8,0,1.5,74.8
192,柳林,2016-05-03,16.6,80.6,4.4,66.6
192,柳林,2016-05-04,17.8,,4.2,32.4
192,柳林,2016-05-05,16,,1,47.8
192,柳林,2016-05-06,17.6,3.9,.9,85.1
192,柳林,2016-05-07,18.3,,1.4,50.4
192,柳林,2016-05-08,16.7,,1.4,52.1
192,柳林,2016-05-09,17.6,,.8,54.9
192,柳林,2016-05-10,14.4,31.3,1,86
192,柳林,2016-05-11,15.8,.1,1.1,72.3
192,柳林,2016-05-12,17.6,,1.5,63.4
192,柳林,2016-05-13,16.2,,1.2,71.8
192,柳林,2016-05-14,16.8,,1.3,63.3
192,柳林,2016-05-15,17.9,2.9,1.1,79.9
192,柳林,2016-05-16,15.1,6,1.8,58.1
192,柳林,2016-05-17,16.4,,1,53.8
192,柳林,2016-05-18,19.3,,1,56.8
192,柳林,2016-05-19,19,,.9,58.6
192,柳林,2016-05-20,19.3,,1,55.4
192,柳林,2016-05-21,19,,1.1,54
192,柳林,2016-05-22,19.5,,1.1,51.8
192,柳林,2016-05-23,19.8,,1.1,56.8
192,柳林,2016-05-24,18.7,25.6,1.1,86.5
192,柳林,2016-05-25,19.3,,.9,68.1
192,柳林,2016-05-26,20.6,0,.9,64.9
192,柳林,2016-05-27,22.5,0,1.1,56.8
192,柳林,2016-05-28,20.6,0,1.1,66.3
192,柳林,2016-05-29,19.9,3.5,.9,74.1
192,柳林,2016-05-30,21.5,,1.1,58.9
192,柳林,2016-05-31,21.2,,.8,62.4
192,柳林,2016-06-01,20.4,,1.4,57.4
192,柳林,2016-06-02,18.9,,1.2,56
192,柳林,2016-06-03,20.7,,1.2,54.5
192,柳林,2016-06-04,17.4,11.1,.7,80.8
192,柳林,2016-06-05,21.3,,1.8,60.9
192,柳林,2016-06-06,18.3,1,1.2,80.3
192,柳林,2016-06-07,21.1,0,1,76.9
192,柳林,2016-06-08,21.2,,.9,80
192,柳林,2016-06-09,21.7,,1.1,76.9
192,柳林,2016-06-10,22.5,,1.2,71.5
192,柳林,2016-06-11,22.7,,1.3,75.6
192,柳林,2016-06-12,22.6,.1,.8,84.4
192,柳林,2016-06-13,23.2,,1.3,73.4
192,柳林,2016-06-14,23,,1.6,70.4
192,柳林,2016-06-15,21.9,0,1.3,78.6
192,柳林,2016-06-16,23.8,0,1.4,65.6
192,柳林,2016-06-17,22.4,,1.2,62.9
192,柳林,2016-06-18,22.4,6,1.5,70.3
192,柳林,2016-06-19,24.8,1.2,1.6,71
192,柳林,2016-06-20,22.8,5.2,1,84.6
192,柳林,2016-06-21,22.6,2,.8,86
192,柳林,2016-06-22,21.5,11.8,.7,88.3
192,柳林,2016-06-23,23.7,,1.1,71.6
192,柳林,2016-06-24,22.5,73.6,1.3,79.9
192,柳林,2016-06-25,23.1,,2.5,57.8
192,柳林,2016-06-26,23.4,,1.2,62
192,柳林,2016-06-27,20.4,.1,.7,81.8
192,柳林,2016-06-28,21.3,,.9,73
192,柳林,2016-06-29,21.6,1.7,1,78.4
192,柳林,2016-06-30,23.5,,1.4,78.3
192,柳林,2016-07-01,23.9,43.1,1.4,84.6
192,柳林,2016-07-02,23.7,13.9,1.7,84.6
192,柳林,2016-07-03,21.4,53.8,.6,89.8
192,柳林,2016-07-04,23.8,.5,.6,88.3
192,柳林,2016-07-05,26.5,.1,1.8,80.9
192,柳林,2016-07-06,26.4,9.3,1.5,78.6
192,柳林,2016-07-07,25.9,,1,78.1
192,柳林,2016-07-08,25.5,,1.3,74.9
192,柳林,2016-07-09,25.6,,1,74.1
192,柳林,2016-07-10,26.2,,.9,76.4
192,柳林,2016-07-11,24.4,2.2,.8,84.9
192,柳林,2016-07-12,24.2,4.2,1,86.8
192,柳林,2016-07-13,25.8,,.9,80.1
192,柳林,2016-07-14,26.7,,1.3,67.1
192,柳林,2016-07-15,25,0,1.3,64.9
192,柳林,2016-07-16,22.1,5.5,.7,86.4
192,柳林,2016-07-17,24.4,,1.2,73.9
192,柳林,2016-07-18,24.3,,.9,72.6
192,柳林,2016-07-19,24.7,,.9,74.5
192,柳林,2016-07-20,24.5,,.9,67.8
192,柳林,2016-07-21,24.3,,1,71.8
192,柳林,2016-07-22,24,,.8,75.5
192,柳林,2016-07-23,25.2,,1.1,70.5
192,柳林,2016-07-24,27,,1.2,74.3
192,柳林,2016-07-25,28,28.4,1.2,76.4
192,柳林,2016-07-26,28,,1.4,74.5
192,柳林,2016-07-27,28.6,,1.5,71.6
192,柳林,2016-07-28,28.7,,1.6,73.6
192,柳林,2016-07-29,28.6,,1.4,74.6
192,柳林,2016-07-30,29.1,,1.2,69.9
192,柳林,2016-07-31,28.4,0,1.2,68
192,柳林,2016-08-01,26.8,1.6,1,73.9
192,柳林,2016-08-02,25.9,10.2,1,78.9
192,柳林,2016-08-03,26.1,.5,.9,78.3
192,柳林,2016-08-04,27.1,,1.2,73.6
192,柳林,2016-08-05,27.7,,1.2,69.8
192,柳林,2016-08-06,28.3,,1,67.5
192,柳林,2016-08-07,28.2,,1.1,69.8
192,柳林,2016-08-08,27.5,.4,1,73
192,柳林,2016-08-09,27.4,0,1,73.8
192,柳林,2016-08-10,29.1,,1.1,67
192,柳林,2016-08-11,29.9,,1,67.1
192,柳林,2016-08-12,30.5,,1.1,66.3
192,柳林,2016-08-13,29.9,,1,64.4
192,柳林,2016-08-14,29.8,,.9,64.6
192,柳林,2016-08-15,27.7,11,.8,76.6
192,柳林,2016-08-16,27.1,,.8,76
192,柳林,2016-08-17,26.8,13.9,.9,78.3
192,柳林,2016-08-18,27.2,,1,71.6
192,柳林,2016-08-19,27.5,,.9,68.9
192,柳林,2016-08-20,28,,1.3,65
192,柳林,2016-08-21,28,,1.3,63
192,柳林,2016-08-22,28.4,.2,1.2,65.3
192,柳林,2016-08-23,26.8,1.1,.9,73
192,柳林,2016-08-24,26.9,,1.3,59
192,柳林,2016-08-25,26.6,,1,69
192,柳林,2016-08-26,22.1,3.8,1.1,80.6
192,柳林,2016-08-27,22.9,.2,1.6,57.4
192,柳林,2016-08-28,18.7,31.8,1.4,82.9
192,柳林,2016-08-29,21.1,.1,1.8,61.1
192,柳林,2016-08-30,22,,2.1,55.1
192,柳林,2016-08-31,24.8,0,4.3,43.6
192,柳林,2016-09-01,25,20.8,1.8,64.3
192,柳林,2016-09-02,19.2,76.4,.8,89.8
192,柳林,2016-09-03,21.8,44.1,.7,88.4
192,柳林,2016-09-04,23.6,17.1,.9,86
192,柳林,2016-09-05,24.9,.5,.6,82.9
192,柳林,2016-09-06,24.2,0,.7,81.4
192,柳林,2016-09-07,23.6,0,.6,79.5
192,柳林,2016-09-08,23.3,,.8,68.1
192,柳林,2016-09-09,23.1,,.8,74
192,柳林,2016-09-10,22.9,1.6,.8,78.4
192,柳林,2016-09-11,22.2,1.6,.7,79.6
192,柳林,2016-09-12,20.3,8.5,.7,84.9
192,柳林,2016-09-13,21.8,,.9,74.6
192,柳林,2016-09-14,22.1,,.6,77.3
192,柳林,2016-09-15,23.3,,.9,73.9
192,柳林,2016-09-16,22.2,2.7,.7,86.1
192,柳林,2016-09-17,19.3,174.5,.9,90
192,柳林,2016-09-18,19.6,4.5,1.2,85.1
192,柳林,2016-09-19,20.7,0,2.3,62.5
192,柳林,2016-09-20,18.9,,2.2,57
192,柳林,2016-09-21,18,,1,68.4
192,柳林,2016-09-22,19,,.7,75
192,柳林,2016-09-23,19.8,,.8,74.1
192,柳林,2016-09-24,20.5,,.7,73.3
192,柳林,2016-09-25,20.9,,.6,75.8
192,柳林,2016-09-26,21.7,3.8,.5,82.4
192,柳林,2016-09-27,24.1,,.8,82
192,柳林,2016-09-28,22,16.7,.5,90
192,柳林,2016-09-29,18.7,4,.8,86.4
