datetime,year,month,date,weekdays,season,vacation
2016-02-01,2016,02,01,monday,winter,0
2016-02-02,2016,02,02,tuesday,winter,0
2016-02-03,2016,02,03,wednesday,winter,0
2016-02-04,2016,02,04,thursday,winter,0
2016-02-05,2016,02,05,friday,winter,1
2016-02-11,2016,02,11,thursday,winter,0
2016-02-12,2016,02,12,friday,winter,0
2016-02-15,2016,02,15,monday,winter,0
2016-02-16,2016,02,16,tuesday,winter,0
2016-02-17,2016,02,17,wednesday,winter,0
2016-02-18,2016,02,18,thursday,winter,0
2016-02-19,2016,02,19,friday,winter,0
2016-02-22,2016,02,22,monday,winter,0
2016-02-23,2016,02,23,tuesday,winter,0
2016-02-24,2016,02,24,wednesday,winter,0
2016-02-25,2016,02,25,thursday,winter,0
2016-02-26,2016,02,26,friday,winter,0
2016-02-29,2016,02,29,monday,winter,1
2016-03-02,2016,03,02,wednesday,spring,0
2016-03-03,2016,03,03,thursday,spring,0
2016-03-04,2016,03,04,friday,spring,0
2016-03-07,2016,03,07,monday,spring,0
2016-03-08,2016,03,08,tuesday,spring,0
2016-03-09,2016,03,09,wednesday,spring,0
2016-03-10,2016,03,10,thursday,spring,0
2016-03-11,2016,03,11,friday,spring,0
2016-03-14,2016,03,14,monday,spring,0
2016-03-15,2016,03,15,tuesday,spring,0
2016-03-16,2016,03,16,wednesday,spring,0
2016-03-17,2016,03,17,thursday,spring,0
2016-03-18,2016,03,18,friday,spring,0
2016-03-21,2016,03,21,monday,spring,0
2016-03-22,2016,03,22,tuesday,spring,0
2016-03-23,2016,03,23,wednesday,spring,0
2016-03-24,2016,03,24,thursday,spring,0
2016-03-25,2016,03,25,friday,spring,0
2016-03-28,2016,03,28,monday,spring,0
2016-03-29,2016,03,29,tuesday,spring,0
2016-03-30,2016,03,30,wednesday,spring,0
2016-03-31,2016,03,31,thursday,spring,0
2016-04-01,2016,04,01,friday,spring,0
2016-04-04,2016,04,04,monday,spring,0
2016-04-05,2016,04,05,tuesday,spring,0
2016-04-06,2016,04,06,wednesday,spring,0
2016-04-07,2016,04,07,thursday,spring,0
2016-04-08,2016,04,08,friday,spring,0
2016-04-11,2016,04,11,monday,spring,0
2016-04-12,2016,04,12,tuesday,spring,1
2016-04-14,2016,04,14,thursday,spring,0
2016-04-15,2016,04,15,friday,spring,0
2016-04-18,2016,04,18,monday,spring,0
2016-04-19,2016,04,19,tuesday,spring,0
2016-04-20,2016,04,20,wednesday,spring,0
2016-04-21,2016,04,21,thursday,spring,0
2016-04-22,2016,04,22,friday,spring,0
2016-04-25,2016,04,25,monday,spring,0
2016-04-26,2016,04,26,tuesday,spring,0
2016-04-27,2016,04,27,wednesday,spring,0
2016-04-28,2016,04,28,thursday,spring,0
2016-04-29,2016,04,29,friday,spring,0
2016-05-02,2016,05,02,monday,spring,0
2016-05-03,2016,05,03,tuesday,spring,0
2016-05-04,2016,05,04,wednesday,spring,1
2016-05-09,2016,05,09,monday,spring,0
2016-05-10,2016,05,10,tuesday,spring,0
2016-05-11,2016,05,11,wednesday,spring,0
2016-05-12,2016,05,12,thursday,spring,0
2016-05-13,2016,05,13,friday,spring,0
2016-05-16,2016,05,16,monday,spring,0
2016-05-17,2016,05,17,tuesday,spring,0
2016-05-18,2016,05,18,wednesday,spring,0
2016-05-19,2016,05,19,thursday,spring,0
2016-05-20,2016,05,20,friday,spring,0
2016-05-23,2016,05,23,monday,spring,0
2016-05-24,2016,05,24,tuesday,spring,0
2016-05-25,2016,05,25,wednesday,spring,0
2016-05-26,2016,05,26,thursday,spring,0
2016-05-27,2016,05,27,friday,spring,0
2016-05-30,2016,05,30,monday,spring,0
2016-05-31,2016,05,31,tuesday,spring,0
2016-06-01,2016,06,01,wednesday,summer,0
2016-06-02,2016,06,02,thursday,summer,0
2016-06-03,2016,06,03,friday,summer,1
2016-06-07,2016,06,07,tuesday,summer,0
2016-06-08,2016,06,08,wednesday,summer,0
2016-06-09,2016,06,09,thursday,summer,0
2016-06-10,2016,06,10,friday,summer,0
2016-06-13,2016,06,13,monday,summer,0
2016-06-14,2016,06,14,tuesday,summer,0
2016-06-15,2016,06,15,wednesday,summer,0
2016-06-16,2016,06,16,thursday,summer,0
2016-06-17,2016,06,17,friday,summer,0
2016-06-20,2016,06,20,monday,summer,0
2016-06-21,2016,06,21,tuesday,summer,0
2016-06-22,2016,06,22,wednesday,summer,0
2016-06-23,2016,06,23,thursday,summer,0
2016-06-24,2016,06,24,friday,summer,0
2016-06-27,2016,06,27,monday,summer,0
2016-06-28,2016,06,28,tuesday,summer,0
2016-06-29,2016,06,29,wednesday,summer,0
2016-06-30,2016,06,30,thursday,summer,0
2016-07-01,2016,07,01,friday,summer,0
2016-07-04,2016,07,04,monday,summer,0
2016-07-05,2016,07,05,tuesday,summer,0
2016-07-06,2016,07,06,wednesday,summer,0
2016-07-07,2016,07,07,thursday,summer,0
2016-07-08,2016,07,08,friday,summer,0
2016-07-11,2016,07,11,monday,summer,0
2016-07-12,2016,07,12,tuesday,summer,0
2016-07-13,2016,07,13,wednesday,summer,0
2016-07-14,2016,07,14,thursday,summer,0
2016-07-15,2016,07,15,friday,summer,0
2016-07-18,2016,07,18,monday,summer,0
2016-07-19,2016,07,19,tuesday,summer,0
2016-07-20,2016,07,20,wednesday,summer,0
2016-07-21,2016,07,21,thursday,summer,0
2016-07-22,2016,07,22,friday,summer,0
2016-07-25,2016,07,25,monday,summer,0
2016-07-26,2016,07,26,tuesday,summer,0
2016-07-27,2016,07,27,wednesday,summer,0
2016-07-28,2016,07,28,thursday,summer,0
2016-07-29,2016,07,29,friday,summer,0
2016-08-01,2016,08,01,monday,summer,0
2016-08-02,2016,08,02,tuesday,summer,0
2016-08-03,2016,08,03,wednesday,summer,0
2016-08-04,2016,08,04,thursday,summer,0
2016-08-05,2016,08,05,friday,summer,0
2016-08-08,2016,08,08,monday,summer,0
2016-08-09,2016,08,09,tuesday,summer,0
2016-08-10,2016,08,10,wednesday,summer,0
2016-08-11,2016,08,11,thursday,summer,0
2016-08-12,2016,08,12,friday,summer,1
2016-08-16,2016,08,16,tuesday,summer,0
2016-08-17,2016,08,17,wednesday,summer,0
2016-08-18,2016,08,18,thursday,summer,0
2016-08-19,2016,08,19,friday,summer,0
2016-08-22,2016,08,22,monday,summer,0
2016-08-23,2016,08,23,tuesday,summer,0
2016-08-24,2016,08,24,wednesday,summer,0
2016-08-25,2016,08,25,thursday,summer,0
2016-08-26,2016,08,26,friday,summer,0
2016-08-29,2016,08,29,monday,summer,0
2016-08-30,2016,08,30,tuesday,summer,0
2016-08-31,2016,08,31,wednesday,summer,0
2016-09-01,2016,09,01,thursday,fall,0
2016-09-02,2016,09,02,friday,fall,0
2016-09-05,2016,09,05,monday,fall,0
2016-09-06,2016,09,06,tuesday,fall,0
2016-09-07,2016,09,07,wednesday,fall,0
2016-09-08,2016,09,08,thursday,fall,0
2016-09-09,2016,09,09,friday,fall,0
2016-09-12,2016,09,12,monday,fall,0
2016-09-13,2016,09,13,tuesday,fall,1
2016-09-19,2016,09,19,monday,fall,0
2016-09-20,2016,09,20,tuesday,fall,0
2016-09-21,2016,09,21,wednesday,fall,0
2016-09-22,2016,09,22,thursday,fall,0
2016-09-23,2016,09,23,friday,fall,0
2016-09-26,2016,09,26,monday,fall,0
2016-09-27,2016,09,27,tuesday,fall,0
2016-09-28,2016,09,28,wednesday,fall,0
2016-09-29,2016,09,29,thursday,fall,0
2016-09-30,2016,09,30,friday,fall,1
2016-10-04,2016,10,04,tuesday,fall,0
2016-10-05,2016,10,05,wednesday,fall,0
2016-10-06,2016,10,06,thursday,fall,0
2016-10-07,2016,10,07,friday,fall,0
2016-10-10,2016,10,10,monday,fall,0
2016-10-11,2016,10,11,tuesday,fall,0
