,datetime,year,month,date,vacation,worker_number,real_number,vacation_number,biztrip_number,overtime_number,telecom_number,temperature,rain,wind,humidity,discomfort_index,perceived_temperature,dinner_number,season_fall,season_spring,season_summer,season_winter,weekdays_friday,weekdays_monday,weekdays_thursday,weekdays_tuesday,weekdays_wednesday,dinner_rice_N,dinner_rice_Y,new_dinner_N,new_dinner_Y
0,2016-02-01,2016,2,1,0,2601,2401,50,150,238,0,-0.6,0.0,1.3,43.9,39.275534,0.6415480875294988,331,0,0,0,1,0,1,0,0,0,0,1,1,0
1,2016-02-02,2016,2,2,0,2601,2378,50,173,319,0,-2.3,0.0,0.8,47.5,36.562925,-0.1606335080421509,560,0,0,0,1,0,0,0,1,0,1,0,1,0
2,2016-02-03,2016,2,3,0,2601,2365,56,180,111,0,-1.7,0.0,0.6,57.1,35.796707,0.964631488441028,573,0,0,0,1,0,0,0,0,1,0,1,1,0
3,2016-02-04,2016,2,4,0,2601,2277,104,220,355,0,-0.2,0.0,0.7,53.4,38.396068,2.181494415576727,525,0,0,0,1,0,0,1,0,0,1,0,1,0
4,2016-02-05,2016,2,5,1,2601,2142,278,181,34,0,1.3,0.0,1.0,44.4,41.575228,3.0734,330,0,0,0,1,1,0,0,0,0,0,1,1,0
5,2016-02-11,2016,2,11,0,2601,2075,383,143,417,0,6.1,0.0,1.0,57.1,46.523969,7.9598,550,0,0,0,1,0,0,1,0,0,1,0,1,0
6,2016-02-12,2016,2,12,0,2601,2056,389,156,93,0,9.2,62.8,1.1,88.0,49.18304,10.996936831685804,598,0,0,0,1,1,0,0,0,0,0,1,1,0
7,2016-02-15,2016,2,15,0,2601,2310,87,204,482,0,-1.5,0.0,1.8,38.4,39.02356,-0.9568456012102348,672,0,0,0,1,0,1,0,0,0,0,1,1,0
8,2016-02-16,2016,2,16,0,2601,2293,72,236,526,0,0.2,0.0,1.8,59.6,38.057208,0.8402225596369,523,0,0,0,1,0,0,0,1,0,0,1,1,0
9,2016-02-17,2016,2,17,0,2601,2273,78,250,23,0,1.7,0.0,1.1,49.8,41.393734,3.3162407092369697,588,0,0,0,1,0,0,0,0,1,1,0,1,0
10,2016-02-18,2016,2,18,0,2601,2270,77,254,367,0,2.3,0.0,1.1,61.8,40.732786,3.9306963990328776,489,0,0,0,1,0,0,1,0,0,0,1,1,0
11,2016-02-19,2016,2,19,0,2601,2204,145,252,69,0,5.0,0.0,0.9,58.9,44.84285,6.996925081667167,597,0,0,0,1,1,0,0,0,0,0,1,1,0
12,2016-02-22,2016,2,22,0,2601,2304,90,207,434,0,3.4,0.0,0.7,45.5,44.07903,5.767116320077945,645,0,0,0,1,0,1,0,0,0,0,1,1,0
13,2016-02-23,2016,2,23,0,2601,2307,57,237,488,0,5.5,0.0,1.8,39.5,47.257275,6.442846825807379,610,0,0,0,1,0,0,0,1,0,0,1,1,0
14,2016-02-24,2016,2,24,0,2601,2315,54,232,14,0,1.4,0.0,1.6,29.9,43.572714000000005,2.3305522511211247,514,0,0,0,1,0,0,0,0,1,0,1,1,0
15,2016-02-25,2016,2,25,0,2601,2284,56,261,335,0,0.8,0.0,1.7,32.8,42.517376,1.5850250234563696,531,0,0,0,1,0,0,1,0,0,1,0,1,0
16,2016-02-26,2016,2,26,0,2601,2179,144,278,42,0,1.8,0.0,0.9,61.0,40.12202,3.760534833317693,585,0,0,0,1,1,0,0,0,0,0,1,1,0
