datetime,worker_number,real_number,biztrip_number,overtime_number,telecom_number,vacation_number
2016-02-01,2601,2401.0,150,238,0.0,50
2016-02-02,2601,2378.0,173,319,0.0,50
2016-02-03,2601,2365.0,180,111,0.0,56
2016-02-04,2601,2277.0,220,355,0.0,104
2016-02-05,2601,2142.0,181,34,0.0,278
2016-02-11,2601,2075.0,143,417,0.0,383
2016-02-12,2601,2056.0,156,93,0.0,389
2016-02-15,2601,2310.0,204,482,0.0,87
2016-02-16,2601,2293.0,236,526,0.0,72
2016-02-17,2601,2273.0,250,23,0.0,78
2016-02-18,2601,2270.0,254,367,0.0,77
2016-02-19,2601,2204.0,252,69,0.0,145
2016-02-22,2601,2304.0,207,434,0.0,90
2016-02-23,2601,2307.0,237,488,0.0,57
2016-02-24,2601,2315.0,232,14,0.0,54
2016-02-25,2601,2284.0,261,335,0.0,56
2016-02-26,2601,2179.0,278,42,0.0,144
2016-02-29,2601,1838.0,168,110,0.0,595
2016-03-02,2624,2315.0,182,261,0.0,127
2016-03-03,2624,2339.0,224,351,0.0,61
2016-03-04,2624,2294.0,247,79,0.0,83
2016-03-07,2624,2379.0,195,456,0.0,50
2016-03-08,2624,2365.0,212,426,0.0,47
2016-03-09,2624,2356.0,225,0,0.0,43
2016-03-10,2624,2324.0,245,290,0.0,55
2016-03-11,2624,2241.0,275,76,0.0,108
2016-03-14,2624,2380.0,183,376,0.0,61
2016-03-15,2624,2355.0,231,399,0.0,38
2016-03-16,2624,2361.0,213,0,0.0,50
2016-03-17,2624,2330.0,242,327,0.0,52
2016-03-18,2624,2229.0,277,57,0.0,118
2016-03-21,2624,2354.0,205,329,0.0,65
2016-03-22,2624,2375.0,208,378,0.0,41
2016-03-23,2624,2346.0,236,0,0.0,42
2016-03-24,2624,2320.0,251,293,0.0,53
2016-03-25,2624,2251.0,275,59,0.0,98
2016-03-28,2624,2350.0,197,299,0.0,77
2016-03-29,2624,2327.0,245,259,0.0,52
2016-03-30,2624,2346.0,230,0,0.0,48
2016-03-31,2624,2340.0,248,158,0.0,36
2016-04-01,2643,2286.0,254,47,0.0,103
2016-04-04,2643,2360.0,221,367,0.0,62
2016-04-05,2643,2370.0,242,370,0.0,31
2016-04-06,2643,2357.0,249,0,0.0,37
2016-04-07,2643,2338.0,258,339,0.0,47
2016-04-08,2643,2273.0,283,64,0.0,87
2016-04-11,2643,2358.0,203,392,0.0,82
2016-04-12,2643,2342.0,225,239,0.0,76
2016-04-14,2643,2285.0,252,326,0.0,106
2016-04-15,2643,2231.0,281,82,0.0,131
2016-04-18,2643,2337.0,225,330,0.0,81
2016-04-19,2643,2360.0,239,387,0.0,44
2016-04-20,2643,2334.0,262,0,0.0,47
2016-04-21,2643,2313.0,264,312,0.0,66
2016-04-22,2643,2218.0,275,86,0.0,150
2016-04-25,2643,2346.0,201,281,0.0,96
2016-04-26,2643,2365.0,227,304,0.0,51
2016-04-27,2643,2338.0,234,0,0.0,71
2016-04-28,2643,2318.0,269,196,0.0,56
2016-04-29,2643,2222.0,282,28,0.0,139
2016-05-02,2635,2341.0,214,302,0.0,80
2016-05-03,2635,2319.0,251,292,0.0,65
2016-05-04,2635,2241.0,244,0,0.0,150
2016-05-09,2635,2301.0,233,344,0.0,101
2016-05-10,2635,2330.0,252,350,0.0,53
2016-05-11,2635,2309.0,266,0,0.0,60
2016-05-12,2635,2290.0,274,315,0.0,71
2016-05-13,2635,2182.0,268,80,0.0,185
2016-05-16,2635,2320.0,216,368,0.0,99
2016-05-17,2635,2340.0,254,377,0.0,41
2016-05-18,2635,2307.0,257,0,0.0,71
2016-05-19,2635,2304.0,266,264,0.0,65
2016-05-20,2635,2179.0,287,56,0.0,169
2016-05-23,2635,2344.0,203,362,0.0,88
2016-05-24,2635,2327.0,234,310,0.0,74
2016-05-25,2635,2305.0,258,0,0.0,72
2016-05-26,2635,2286.0,285,227,0.0,64
2016-05-27,2635,2181.0,291,61,0.0,163
2016-05-30,2635,2347.0,215,291,0.0,73
2016-05-31,2635,2335.0,250,185,0.0,50
2016-06-01,2637,2317.0,245,0,0.0,75
2016-06-02,2637,2298.0,258,301,0.0,81
2016-06-03,2637,2178.0,268,64,0.0,191
2016-06-07,2637,2330.0,192,389,0.0,115
