평균기온(°C),일강수량(mm),평균 상대습도(%),일 최심신적설(cm),일자
-0.6,0.0,43.9,0.0,2016-02-01
-2.3,0.0,47.5,0.0,2016-02-02
-1.7,0.0,57.1,0.0,2016-02-03
-0.2,0.0,53.4,0.0,2016-02-04
1.3,0.0,44.4,0.0,2016-02-05
-0.3,0.0,48.3,0.0,2016-02-06
-1.6,0.0,50.9,0.0,2016-02-07
1.9,0.0,47.6,0.0,2016-02-08
4.9,0.0,26.1,0.0,2016-02-09
1.7,0.0,47.5,0.0,2016-02-10
6.1,0.0,57.1,0.0,2016-02-11
9.2,62.8,88.0,0.0,2016-02-12
12.0,9.9,90.5,0.0,2016-02-13
4.1,0.0,53.6,0.0,2016-02-14
-1.5,0.0,38.4,0.0,2016-02-15
0.2,0.0,59.6,0.0,2016-02-16
1.7,0.0,49.8,0.0,2016-02-17
2.3,0.0,61.8,0.0,2016-02-18
5.0,0.0,58.9,0.0,2016-02-19
6.0,0.0,42.9,0.0,2016-02-20
2.1,0.0,35.8,0.0,2016-02-21
3.4,0.0,45.5,0.0,2016-02-22
5.5,0.0,39.5,0.0,2016-02-23
1.4,0.0,29.9,0.0,2016-02-24
0.8,0.0,32.8,0.0,2016-02-25
1.8,0.0,61.0,0.0,2016-02-26
7.9,0.7,49.8,0.0,2016-02-27
6.1,3.0,67.1,0.0,2016-02-28
-0.2,0.0,43.8,0.0,2016-02-29
-0.8,0.0,44.0,0.0,2016-03-01
3.8,0.0,49.6,0.0,2016-03-02
6.7,0.0,61.9,0.0,2016-03-03
8.2,36.1,88.4,0.0,2016-03-04
12.1,43.1,87.6,0.0,2016-03-05
13.7,1.3,81.5,0.0,2016-03-06
11.0,0.0,67.8,0.0,2016-03-07
8.0,3.3,65.1,0.0,2016-03-08
5.2,6.8,56.6,0.0,2016-03-09
3.0,0.0,33.0,0.0,2016-03-10
2.0,0.0,34.1,0.0,2016-03-11
2.7,0.0,43.9,0.0,2016-03-12
4.7,0.0,51.3,0.0,2016-03-13
5.5,0.0,50.5,0.0,2016-03-14
5.9,0.0,49.1,0.0,2016-03-15
8.4,0.0,53.1,0.0,2016-03-16
9.3,0.0,55.3,0.0,2016-03-17
9.8,27.6,89.3,0.0,2016-03-18
11.5,0.0,71.5,0.0,2016-03-19
9.5,0.0,68.3,0.0,2016-03-20
9.3,0.0,62.5,0.0,2016-03-21
9.6,0.0,64.5,0.0,2016-03-22
10.5,0.0,52.3,0.0,2016-03-23
8.3,0.0,45.6,0.0,2016-03-24
6.8,2.8,70.8,0.0,2016-03-25
6.6,0.0,56.1,0.0,2016-03-26
7.4,0.0,53.4,0.0,2016-03-27
8.4,0.0,49.9,0.0,2016-03-28
10.7,0.0,60.0,0.0,2016-03-29
13.8,0.0,53.6,0.0,2016-03-30
12.0,0.0,61.9,0.0,2016-03-31
13.6,0.0,57.3,0.0,2016-04-01
13.1,0.0,68.8,0.0,2016-04-02
12.2,37.8,86.6,0.0,2016-04-03
11.2,2.6,81.9,0.0,2016-04-04
12.4,0.0,66.8,0.0,2016-04-05
11.8,26.1,64.9,0.0,2016-04-06
12.2,28.7,82.5,0.0,2016-04-07
15.0,0.0,60.3,0.0,2016-04-08
15.0,0.0,55.8,0.0,2016-04-09
14.4,0.0,62.9,0.0,2016-04-10
10.8,0.0,66.0,0.0,2016-04-11
11.5,3.1,58.6,0.0,2016-04-12
13.6,37.7,90.3,0.0,2016-04-13
17.1,0.0,57.6,0.0,2016-04-14
12.9,0.0,59.3,0.0,2016-04-15
13.2,77.5,78.5,0.0,2016-04-16
15.5,3.9,44.1,0.0,2016-04-17
14.4,0.0,43.0,0.0,2016-04-18
13.5,0.0,46.5,0.0,2016-04-19
13.5,0.0,58.8,0.0,2016-04-20
13.8,33.2,89.0,0.0,2016-04-21
17.0,0.0,70.9,0.0,2016-04-22
15.4,0.0,56.3,0.0,2016-04-23
14.6,0.0,54.9,0.0,2016-04-24
15.4,0.0,51.6,0.0,2016-04-25
16.3,1.2,61.4,0.0,2016-04-26
11.4,42.9,84.5,0.0,2016-04-27
14.1,5.0,77.1,0.0,2016-04-28
15.0,0.0,63.3,0.0,2016-04-29
16.6,0.0,57.5,0.0,2016-04-30
16.5,0.0,61.5,0.0,2016-05-01
17.8,0.0,74.8,0.0,2016-05-02
16.6,80.6,66.6,0.0,2016-05-03
17.8,0.0,32.4,0.0,2016-05-04
16.0,0.0,47.8,0.0,2016-05-05
17.6,3.9,85.1,0.0,2016-05-06
18.3,0.0,50.4,0.0,2016-05-07
16.7,0.0,52.1,0.0,2016-05-08
17.6,0.0,54.9,0.0,2016-05-09
14.4,31.3,86.0,0.0,2016-05-10
15.8,0.1,72.3,0.0,2016-05-11
17.6,0.0,63.4,0.0,2016-05-12
16.2,0.0,71.8,0.0,2016-05-13
16.8,0.0,63.3,0.0,2016-05-14
17.9,2.9,79.9,0.0,2016-05-15
15.1,6.0,58.1,0.0,2016-05-16
16.4,0.0,53.8,0.0,2016-05-17
19.3,0.0,56.8,0.0,2016-05-18
19.0,0.0,58.6,0.0,2016-05-19
19.3,0.0,55.4,0.0,2016-05-20
19.0,0.0,54.0,0.0,2016-05-21
