일자,요일,본사정원수,실질정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,석식계,Month,Date,Season,연휴,New_lunch,New_dinner,lunch_rice,lunch_soup,lunch_main,dinner_rice,dinner_soup,dinner_main,기온,강수량,풍속,습도,불쾌지수,체감온도
2016-02-01,월,2601,2401,50,150,238,0,1039,331,2,1,겨울,N,N,N,밥,오징어찌개,쇠불고기,밥,육개장,자반고등어구이,-0.6,0.0,1.3,43.9,39.275534,0.6415480875294988
2016-02-02,화,2601,2378,50,173,319,0,867,560,2,2,겨울,N,N,N,밥,김치찌개,가자미튀김,콩나물밥*양념장,어묵국,유산슬,-2.3,0.0,0.8,47.5,36.562925,-0.16063350804215093
2016-02-03,수,2601,2365,56,180,111,0,1017,573,2,3,겨울,N,N,N,카레덮밥,팽이장국,치킨핑거,밥,청국장찌개,황태양념구이,-1.7,0.0,0.6,57.1,35.796707,0.964631488441028
2016-02-04,목,2601,2277,104,220,355,0,978,525,2,4,겨울,N,N,N,밥,쇠고기무국,주꾸미볶음,미니김밥*겨자장,우동,멕시칸샐러드,-0.2,0.0,0.7,53.4,38.396068,2.181494415576727
2016-02-05,금,2601,2142,278,181,34,0,925,330,2,5,겨울,Y,N,N,밥,떡국,돈육씨앗강정,밥,차돌박이찌개,닭갈비,1.3,0.0,1.0,44.4,41.575228,3.0734
2016-02-11,목,2601,2075,383,143,417,0,1045,550,2,11,겨울,N,N,N,밥,시래기국,훈제오리구이,참치회덮밥,맑은국,군만두,6.1,0.0,1.0,57.1,46.523969,7.9597999999999995
2016-02-12,금,2601,2056,389,156,93,0,909,598,2,12,겨울,N,N,N,밥,꽃게탕,돈육굴소스볶음,밥,김치콩나물국,미니함박,9.2,62.8,1.1,88.0,49.18304,10.996936831685803
2016-02-15,월,2601,2310,87,204,482,0,1268,672,2,15,겨울,N,N,N,밥,시금치국,닭감자조림,밥,홍합미역국,등갈비김치찜,-1.5,0.0,1.8,38.4,39.02356,-0.9568456012102347
2016-02-16,화,2601,2293,72,236,526,0,1014,523,2,16,겨울,N,N,N,밥,쇠고기무국,탕수어,밥,된장찌개,쇠불고기,0.2,0.0,1.8,59.6,38.057208,0.8402225596369
2016-02-17,수,2601,2273,78,250,23,0,916,588,2,17,겨울,N,N,N,밥,냉이된장국,쇠고기장조림,볶음밥*자장소스,맑은국,새우또띠아,1.7,0.0,1.1,49.8,41.393734,3.3162407092369697
