datetime,month,date,weekdays,season,vacation
2016-02-01,02,01,월,겨울,0
2016-02-02,02,02,화,겨울,0
2016-02-03,02,03,수,겨울,0
2016-02-04,02,04,목,겨울,0
2016-02-05,02,05,금,겨울,1
2016-02-11,02,11,목,겨울,0
2016-02-12,02,12,금,겨울,0
2016-02-15,02,15,월,겨울,0
2016-02-16,02,16,화,겨울,0
2016-02-17,02,17,수,겨울,0
2016-02-18,02,18,목,겨울,0
2016-02-19,02,19,금,겨울,0
2016-02-22,02,22,월,겨울,0
2016-02-23,02,23,화,겨울,0
2016-02-24,02,24,수,겨울,0
2016-02-25,02,25,목,겨울,0
2016-02-26,02,26,금,겨울,0
2016-02-29,02,29,월,겨울,1
2016-03-02,03,02,수,봄,0
2016-03-03,03,03,목,봄,0
2016-03-04,03,04,금,봄,0
2016-03-07,03,07,월,봄,0
2016-03-08,03,08,화,봄,0
2016-03-09,03,09,수,봄,0
2016-03-10,03,10,목,봄,0
2016-03-11,03,11,금,봄,0
2016-03-14,03,14,월,봄,0
2016-03-15,03,15,화,봄,0
2016-03-16,03,16,수,봄,0
2016-03-17,03,17,목,봄,0
2016-03-18,03,18,금,봄,0
2016-03-21,03,21,월,봄,0
2016-03-22,03,22,화,봄,0
2016-03-23,03,23,수,봄,0
2016-03-24,03,24,목,봄,0
2016-03-25,03,25,금,봄,0
2016-03-28,03,28,월,봄,0
2016-03-29,03,29,화,봄,0
2016-03-30,03,30,수,봄,0
2016-03-31,03,31,목,봄,0
2016-04-01,04,01,금,봄,0
2016-04-04,04,04,월,봄,0
2016-04-05,04,05,화,봄,0
2016-04-06,04,06,수,봄,0
2016-04-07,04,07,목,봄,0
2016-04-08,04,08,금,봄,0
2016-04-11,04,11,월,봄,0
2016-04-12,04,12,화,봄,1
2016-04-14,04,14,목,봄,0
2016-04-15,04,15,금,봄,0
2016-04-18,04,18,월,봄,0
2016-04-19,04,19,화,봄,0
2016-04-20,04,20,수,봄,0
2016-04-21,04,21,목,봄,0
2016-04-22,04,22,금,봄,0
2016-04-25,04,25,월,봄,0
2016-04-26,04,26,화,봄,0
2016-04-27,04,27,수,봄,0
2016-04-28,04,28,목,봄,0
2016-04-29,04,29,금,봄,0
2016-05-02,05,02,월,봄,0
2016-05-03,05,03,화,봄,0
2016-05-04,05,04,수,봄,1
2016-05-09,05,09,월,봄,0
2016-05-10,05,10,화,봄,0
2016-05-11,05,11,수,봄,0
2016-05-12,05,12,목,봄,0
2016-05-13,05,13,금,봄,0
2016-05-16,05,16,월,봄,0
2016-05-17,05,17,화,봄,0
2016-05-18,05,18,수,봄,0
2016-05-19,05,19,목,봄,0
2016-05-20,05,20,금,봄,0
2016-05-23,05,23,월,봄,0
2016-05-24,05,24,화,봄,0
2016-05-25,05,25,수,봄,0
2016-05-26,05,26,목,봄,0
2016-05-27,05,27,금,봄,0
2016-05-30,05,30,월,봄,0
2016-05-31,05,31,화,봄,0
2016-06-01,06,01,수,여름,0
2016-06-02,06,02,목,여름,0
2016-06-03,06,03,금,여름,1
2016-06-07,06,07,화,여름,0
2016-06-08,06,08,수,여름,0
2016-06-09,06,09,목,여름,0
2016-06-10,06,10,금,여름,0
2016-06-13,06,13,월,여름,0
2016-06-14,06,14,화,여름,0
2016-06-15,06,15,수,여름,0
2016-06-16,06,16,목,여름,0
2016-06-17,06,17,금,여름,0
2016-06-20,06,20,월,여름,0
2016-06-21,06,21,화,여름,0
2016-06-22,06,22,수,여름,0
2016-06-23,06,23,목,여름,0
2016-06-24,06,24,금,여름,0
2016-06-27,06,27,월,여름,0
2016-06-28,06,28,화,여름,0
2016-06-29,06,29,수,여름,0
2016-06-30,06,30,목,여름,0
2016-07-01,07,01,금,여름,0
2016-07-04,07,04,월,여름,0
2016-07-05,07,05,화,여름,0
2016-07-06,07,06,수,여름,0
2016-07-07,07,07,목,여름,0
2016-07-08,07,08,금,여름,0
2016-07-11,07,11,월,여름,0
2016-07-12,07,12,화,여름,0
2016-07-13,07,13,수,여름,0
2016-07-14,07,14,목,여름,0
2016-07-15,07,15,금,여름,0
2016-07-18,07,18,월,여름,0
2016-07-19,07,19,화,여름,0
2016-07-20,07,20,수,여름,0
2016-07-21,07,21,목,여름,0
2016-07-22,07,22,금,여름,0
2016-07-25,07,25,월,여름,0
2016-07-26,07,26,화,여름,0
2016-07-27,07,27,수,여름,0
2016-07-28,07,28,목,여름,0
2016-07-29,07,29,금,여름,0
2016-08-01,08,01,월,여름,0
2016-08-02,08,02,화,여름,0
2016-08-03,08,03,수,여름,0
2016-08-04,08,04,목,여름,0
2016-08-05,08,05,금,여름,0
2016-08-08,08,08,월,여름,0
2016-08-09,08,09,화,여름,0
2016-08-10,08,10,수,여름,0
2016-08-11,08,11,목,여름,0
2016-08-12,08,12,금,여름,1
2016-08-16,08,16,화,여름,0
2016-08-17,08,17,수,여름,0
2016-08-18,08,18,목,여름,0
2016-08-19,08,19,금,여름,0
2016-08-22,08,22,월,여름,0
2016-08-23,08,23,화,여름,0
2016-08-24,08,24,수,여름,0
2016-08-25,08,25,목,여름,0
2016-08-26,08,26,금,여름,0
2016-08-29,08,29,월,여름,0
2016-08-30,08,30,화,여름,0
2016-08-31,08,31,수,여름,0
2016-09-01,09,01,목,가을,0
2016-09-02,09,02,금,가을,0
2016-09-05,09,05,월,가을,0
2016-09-06,09,06,화,가을,0
2016-09-07,09,07,수,가을,0
2016-09-08,09,08,목,가을,0
2016-09-09,09,09,금,가을,0
2016-09-12,09,12,월,가을,0
2016-09-13,09,13,화,가을,1
2016-09-19,09,19,월,가을,0
2016-09-20,09,20,화,가을,0
2016-09-21,09,21,수,가을,0
2016-09-22,09,22,목,가을,0
2016-09-23,09,23,금,가을,0
