datetime,new_lunch,lunch_rice,lunch_soup,lunch_main,lunch_number
2016-02-01,N,밥,오징어찌개,쇠불고기,1039.0
2016-02-02,N,밥,김치찌개,가자미튀김,867.0
2016-02-03,N,카레덮밥,팽이장국,치킨핑거,1017.0
2016-02-04,N,밥,쇠고기무국,주꾸미볶음,978.0
2016-02-05,N,밥,떡국,돈육씨앗강정,925.0
2016-02-11,N,밥,시래기국,훈제오리구이,1045.0
2016-02-12,N,밥,꽃게탕,돈육굴소스볶음,909.0
2016-02-15,N,밥,시금치국,닭감자조림,1268.0
2016-02-16,N,밥,쇠고기무국,탕수어,1014.0
2016-02-17,N,밥,냉이된장국,쇠고기장조림,916.0
2016-02-18,N,낙지비빔밥,유부장국,고구마치즈구이,910.0
2016-02-19,N,밥,대구찌개,마늘간장치킨,763.0
2016-02-22,N,밥,쇠고기느타리국,갈치구이,1298.0
2016-02-23,N,밥,콩나물국,돈육간장볶음,899.0
2016-02-24,N,비빔밥,팽이장국,소세지피망볶음,1022.0
2016-02-25,N,밥,북어계란국,닭갈비,917.0
2016-02-26,N,밥,수제비국,오징어볶음,766.0
2016-02-29,N,밥,얼갈이된장국,제육볶음,869.0
2016-03-02,N,밥,쇠고기미역국,주꾸미볶음,1127.0
2016-03-03,N,밥,근대된장국,탕수육,1000.0
2016-03-04,N,밥,부대찌개,가자미튀김,837.0
2016-03-07,N,밥,콩나물국,닭갈비,1326.0
2016-03-08,N,밥,차돌박이찌개,고등어김치말이,1026.0
2016-03-09,N,밥,북어국,돈육장조림,901.0
2016-03-10,N,밥,고추장찌개,닭데리야끼조림,847.0
2016-03-11,N,밥,배추된장국,수제돈가스,728.0
2016-03-14,N,밥,어묵국,돈육고추장볶음,1286.0
2016-03-15,N,밥,쑥국,소불고기,958.0
2016-03-16,N,곤드레밥,콩나물김치국,미니채소떡갈비,998.0
2016-03-17,N,밥,사골우거지국,탕수어,832.0
2016-03-18,N,밥,시금치국,훈제오리구이,757.0
2016-03-21,N,밥,꽃게탕,버섯불고기,1030.0
2016-03-22,N,밥,쇠고기샤브국,코다리강정,917.0
2016-03-23,N,콩나물밥*달래장,맑은국,치킨텐더*요거트D,963.0
2016-03-24,N,밥,북어계란국,쇠고기장조림,876.0
2016-03-25,N,밥,닭개장,자반고등어구이,861.0
2016-03-28,N,밥,얼갈이된장국,닭갈비,1193.0
2016-03-29,N,밥,옹심이만두국,주꾸미볶음,892.0
2016-03-30,N,봄새싹비빔밥,쪽파국,오징어튀김,1033.0
2016-03-31,N,밥,매운콩나물국,돈육굴소스볶음,781.0
2016-04-01,N,밥,버섯들깨탕,갈치조림,661.0
2016-04-04,N,밥,순두부찌개,쇠불고기,1237.0
2016-04-05,N,밥,북어국,오징어볶음*소면,840.0
2016-04-06,N,밥,올갱이아욱국,제육볶음,876.0
2016-04-07,N,밥,어묵국,매운돼지갈비찜,853.0
2016-04-08,N,밥,배추된장국,순살양념치킨,764.0
2016-04-11,N,밥,시래기국,훈제오리구이,1225.0
2016-04-12,N,밥,부대찌개,쇠고기단호박조림,771.0
2016-04-14,N,밥,수제비국,돈육굴소스볶음,969.0
2016-04-15,N,밥,냉이된장찌개,닭데리야끼조림,579.0
2016-04-18,N,밥,배추된장국,돈육강정,1120.0
2016-04-19,N,밥,육개장,꽁치한마리구이,980.0
2016-04-20,N,콩나물밥,근대된장국,매콤떡갈비조림,849.0
2016-04-21,N,밥,대구매운탕,쇠고기볶음,940.0
2016-04-22,N,밥,북어국,등갈비김치찜,698.0
2016-04-25,N,밥,콩나물국,돈간장불고기,1227.0
2016-04-26,N,밥,쇠고기무국,주꾸미볶음,795.0
2016-04-27,N,나물비빔밥,미소장국,궁중떡찜,1028.0
2016-04-28,N,밥,미역국,양념파닭,811.0
2016-04-29,N,밥,돈육김치찌개,미트볼조림,652.0
2016-05-02,N,밥,시금치국,닭갈비,1242.0
2016-05-03,N,곤드레밥,무채국,모둠장조림,964.0
2016-05-04,N,밥,쇠고기샤브국,오징어볶음,723.0
2016-05-09,N,밥,매운어묵국,훈제오리구이,1216.0
2016-05-10,N,밥,콩나물국,버섯불고기,1008.0
2016-05-11,N,단호박영양밥,시래기된장국,돈육칠리강정,915.0
2016-05-12,N,밥,오징어국,찜닭,753.0
2016-05-13,N,밥,된장찌개,매운돼지갈비찜,761.0
2016-05-16,N,밥,감자고추장찌개,돈육굴소스볶음,1180.0
2016-05-17,N,밥,들깨버섯탕,고등어김치말이,899.0
2016-05-18,N,산채비빔밥,미소장국,치킨핑거,856.0
2016-05-19,N,밥,열무된장국,미니채소떡갈비,898.0
2016-05-20,N,밥,순두부찌개,닭오븐구이,653.0
2016-05-23,N,밥,북어콩나물국,쇠고기불고기,1160.0
2016-05-24,N,밥,한방갈비탕,꼬지삼색전,1107.0
2016-05-25,N,낙지볶음밥,미역장국,탕수어,938.0
