datetime,temperature,rain,wind,humidity,discomfort_index,perceived_temperature
2016-02-01,-0.6,0.0,43.9,,,-8.512152067127063
2016-02-02,-2.3,0.0,47.5,,,-11.088641339118897
2016-02-03,-1.7,0.0,57.1,,,-10.942190401722268
2016-02-04,-0.2,0.0,53.4,,,-8.640726625139516
2016-02-05,1.3,0.0,44.4,,,-5.987636413715075
2016-02-11,6.1,0.0,57.1,,,-0.18704696945434574
2016-02-12,9.2,62.8,88.0,,,3.0304789889147665
2016-02-15,-1.5,0.0,38.4,,,-9.260735147845338
2016-02-16,0.2,0.0,59.6,,,-8.470721799170528
2016-02-17,1.7,0.0,49.8,,,-5.811759198900775
2016-02-18,2.3,0.0,61.8,,,-5.681154965304819
2016-02-19,5.0,0.0,58.9,,,-1.7930647451124697
2016-02-22,3.4,0.0,45.5,,,-3.2269081504214325
2016-02-23,5.5,0.0,39.5,,,-0.009372403722315514
2016-02-24,1.4,0.0,29.9,,,-4.636341734038611
2016-02-25,0.8,0.0,32.8,,,-5.703022629665346
2016-02-26,1.8,0.0,61.0,,,-6.33248036428009
2016-02-29,-0.2,0.0,43.8,,,-7.96543489081995
2016-03-02,3.8,0.0,49.6,,,-2.93871078509481
2016-03-03,6.7,0.0,61.9,,,0.4239305455229587
2016-03-04,8.2,36.1,88.4,,,1.5852811356246974
2016-03-07,11.0,0.0,67.8,,,6.196392440312627
2016-03-08,8.0,3.3,65.1,,,2.100806731939268
2016-03-09,5.2,6.8,56.6,,,-1.4030225101997047
2016-03-10,3.0,0.0,33.0,,,-2.8282650098546473
2016-03-11,2.0,0.0,34.1,,,-4.240866097640845
2016-03-14,5.5,0.0,50.5,,,-0.672773099041649
2016-03-15,5.9,0.0,49.1,,,-0.051209872198449524
2016-03-16,8.4,0.0,53.1,,,3.1617537865432768
2016-03-17,9.3,0.0,55.3,,,4.300334559670586
2016-03-18,9.8,27.6,89.3,,,3.85437054812257
2016-03-21,9.3,0.0,62.5,,,4.011612737746825
2016-03-22,9.6,0.0,64.5,,,4.354522208056839
2016-03-23,10.5,0.0,52.3,,,6.072003723744462
2016-03-24,8.3,0.0,45.6,,,3.3918790801571417
2016-03-25,6.8,2.8,70.8,,,0.1981506289402386
2016-03-28,8.4,0.0,49.9,,,3.3119584970435554
2016-03-29,10.7,0.0,60.0,,,6.047387590352054
2016-03-30,13.8,0.0,53.6,,,10.543660912243288
2016-03-31,12.0,0.0,61.9,,,7.784088307960429
2016-04-01,13.6,0.0,57.3,,,10.148047634875715
2016-04-04,11.2,2.6,81.9,,,6.058846550504441
2016-04-05,12.4,0.0,66.8,,,8.186432798572117
2016-04-06,11.8,26.1,64.9,,,7.407931935432645
2016-04-07,12.2,28.7,82.5,,,7.4672573124315615
2016-04-08,15.0,0.0,60.3,,,11.994087005570098
2016-04-11,10.8,0.0,66.0,,,5.976180558569844
2016-04-12,11.5,3.1,58.6,,,7.20473887158944
2016-04-14,17.1,0.0,57.6,,,14.968224658663457
2016-04-15,12.9,0.0,59.3,,,9.116740759272083
2016-04-18,14.4,0.0,43.0,,,11.737179433854081
2016-04-19,13.5,0.0,46.5,,,10.388054411578535
2016-04-20,13.5,0.0,58.8,,,9.962471958466818
2016-04-21,13.8,33.2,89.0,,,9.60104868008391
2016-04-22,17.0,0.0,70.9,,,14.53093977599415
2016-04-25,15.4,0.0,51.6,,,12.798018598685957
2016-04-26,16.3,1.2,61.4,,,13.767850190239452
2016-04-27,11.4,42.9,84.5,,,6.274131673465526
2016-04-28,14.1,5.0,77.1,,,10.3005063043485
2016-04-29,15.0,0.0,63.3,,,11.912602243307708
2016-05-02,17.8,0.0,74.8,,,15.582011432288501
2016-05-03,16.6,80.6,66.6,,,14.063026492542527
2016-05-04,17.8,0.0,32.4,,,16.659611547505932
2016-05-09,17.6,0.0,54.9,,,15.722464385932446
2016-05-10,14.4,31.3,86.0,,,10.525319396292282
2016-05-11,15.8,0.1,72.3,,,12.812639722681567
2016-05-12,17.6,0.0,63.4,,,15.528242349593036
2016-05-13,16.2,0.0,71.8,,,13.386733657605046
2016-05-16,15.1,6.0,58.1,,,12.194132611872133
2016-05-17,16.4,0.0,53.8,,,14.10339370104674
2016-05-18,19.3,0.0,56.8,,,18.019947512030107
2016-05-19,19.0,0.0,58.6,,,17.569838578738356
2016-05-20,19.3,0.0,55.4,,,18.048221915595764
2016-05-23,19.8,0.0,56.8,,,18.70906074675191
2016-05-24,18.7,25.6,86.5,,,16.667497246571557
2016-05-25,19.3,0.0,68.1,,,17.810956865953568
2016-05-26,20.6,0.0,64.9,,,19.679889834628383
2016-05-27,22.5,0.0,56.8,,,22.430272214249634
2016-05-30,21.5,0.0,58.9,,,21.02041118870506
2016-05-31,21.2,0.0,62.4,,,20.55282352489602
2016-06-01,20.4,0.0,57.4,,,19.525458604885348
2016-06-02,18.9,0.0,56.0,,,17.4854272587383
2016-06-03,20.7,0.0,54.5,,,19.98925040888126
2016-06-07,21.1,0.0,76.9,,,20.216006488135708
2016-06-08,21.2,0.0,80.0,,,20.31991954714254
2016-06-09,21.7,0.0,76.9,,,21.0654939979889
2016-06-10,22.5,0.0,71.5,,,22.25495954934499
2016-06-13,23.2,0.0,73.4,,,23.221510219314858
2016-06-14,23.0,0.0,70.4,,,22.969306785469335
2016-06-15,21.9,0.0,78.6,,,21.32979375014943
2016-06-16,23.8,0.0,65.6,,,24.13594448647965
2016-06-17,22.4,0.0,62.9,,,22.21429992903544
2016-06-20,22.8,5.2,84.6,,,22.551077890243867
2016-06-21,22.6,2.0,86.0,,,22.252585322169413
2016-06-22,21.5,11.8,88.3,,,20.654859191934985
2016-06-23,23.7,0.0,71.6,,,23.942021423871605
2016-06-24,22.5,73.6,79.9,,,22.168013870928757
2016-06-27,20.4,0.1,81.8,,,19.159645345283923
2016-06-28,21.3,0.0,73.0,,,20.547754999100224
2016-06-29,21.6,1.7,78.4,,,20.906513573383965
2016-06-30,23.5,0.0,78.3,,,23.60207140838324
2016-07-01,23.9,43.1,84.6,,,24.12191481966705
2016-07-04,23.8,0.5,88.3,,,23.95208497522816
2016-07-05,26.5,0.1,80.9,,,27.84731441695419
